Designator,Footprint,Quantity,Value,LCSC Part #
AE1,ANT-SMD_47948-0001,1,47948-0001,C152351
"C1, C9",0402,2,10nF,C15195
"C10, C100, C101, C102, C103, C104, C109, C11, C110, C111, C12, C13, C2, C41, C46, C47, C48, C5, C8, C97, C98, C99",0402,22,100n,C1525
"C105, C106, C18, C19",0402,4,15p,C441742
"C14, C15, C17, C20",0402,4,1.2p,C327292
"C3, C4",0402,2,22uF,C105226
"C35, C37",0805,2,4.7uF 50v,C98192
"C36, C39",0402,2,100nF,
"C38, C40",0603,2,22uF,C2762594
"C42, C43, C44, C45",0402,4,4.7uF,C23733
C7,0402,1,470nF,C92361
"D1, D3, D4, D5",0603,4,LED_1_Green,C2994781
D2,0603,1,LED_1_Green,
"D20, D21, D23",SOD-882_L1.0-W0.6-RD,3,RB161QS-40_C28646385,C28646385
"J1, J13, J14, J15, J16, J17, J18, J19, J2, J20, J21, J22, J23, J24, J25, J26, J27, J28, J29, J3, J30, J31, J32, J33, J34, J35, J36, J37, J38, J39, J4, J40, J41, J42, J43, J44, J45, J46, J47, J48, J5, J53, J57, J59, J6, J7, J8, J9",small_pad,48,5V,
L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,1,AOTA-B201610S3R3-101-T,C42411119
L13,ANT-SMD_L8.0-W1.0-SLDA81-3R010G-S1TF,1,ANT8010LL04R2400A,C723634
"L3, L4",IND-SMD_L3.0-W3.0_AFE303020S,2,XRTC303020D4R7MBCA,C39846837
"L7, L9",L0402,2,LQW15AN3N0B00D (3nH),C269824
L8,L0402,1,BLM15PD121SN1D,C76891
OSC1,OSC-SMD_4P-L2.0-W1.6-BL_TXC_7Z,1,OW7EL89CENUNFAYLC-52M,C22434896
P1,CONN-TH_SM08B-SRSS-TB-LF-SN,1,SM08B-SRSS-TB(LF)(SN),C160407
Q7,DFN-3L_L1.0-W0.6-P0.65-BR,1,DMN1150UFB-7B,C459538
"R1, R2, R44, R45",0402,4,5.1k,C105872
"R10, R11, R12, R6, R8, R9",0402,6,10k,C2909316
"R13, R42",0402,2,1k,C106235
"R14, R16, R5, R50",0402,4,100k,C60491
"R15, R41",0402,2,200R,C25087
R28,0402,1,5.23k,C2684530
R29,0402,1,470,C114877
"R3, R39, R4",0402,3,33R,C25105
R31,0402,1,13.7k,C2933072
"R46, R47",0402,2,22R,
R53,0402,1,30R,
R7,0402,1,12k,C2909316
U1,CONN-SMD_SM06B-SRSS-TB-LF-SN,1,SM06B-SRSS-TB(LF)(SN),C160405
"U10, U9",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,2,TLV75533PDBVR,C404027
U11,QFN-60_L7.0-W7.0-P0.40-TL-EP3.4,1,RP2350A_C42411118,C42411118
U12,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,ABM8-272-T3_C20625731,C20625731
U13,USON-8_L3.0-W2.0-P0.50-BL-EP,1,W25Q32RVXHJQ TR,C32246052
U14,LGA-14_L3.0-W2.5-P0.50-BR,1,LSM6DSV16XTR,C5267406
"U15, U16, U17, U18, U22, U23, U24, U25, U26, U27, U28, U29, U3, U4, U5, U8",LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B,16,XL-1010RGBC-WS2812B,C5349953
U19,QFN-32_L5.0-W5.0-P0.50-TL-EP3.7,1,ESP8285H16,C967019
U2,WSON-8_L6.0-W5.0-P1.27-BL-EP,1,W25Q128JVPIQTR,C190862
U20,QFN-24_L4.0-W4.0-P0.50-TL-EP2.6,1,SX1281IMLTRT,C2151551
U21,SW-SMD_4P-L3.0-W2.0-P0.85-LS3.5,1,TS2306A 240GF MSM 9_C2976675,C2976675
U30,SENSORM-SMD_BMP388,1,BMP388,C779278
"U6, U7",SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL,2,LMR51420YDDCR,C5383002
USB2,USB-TYPE-C-SMD_TYPE-C-16P-QTWT,1,TYPE-C 16P QTWT,C5187472
X1,CRYSTAL-SMD_4P-L2.0-W1.6-BL,1,XTM20026000FT00351005,C37635330
