Designator,Mid X,Mid Y,Rotation,Layer
C1,75.41,-113.02,90.0,top
C10,63.4275,-116.39,90.0,top
C11,73.9,-114.8,90.0,top
C111,56.87,-111.84,270.0,bottom
C12,71.6,-98.86,325.0,bottom
C13,76.08,-102.74,300.0,bottom
C14,75.13,-114.69,90.0,bottom
C15,62.225,-114.445,270.0,top
C16,61.0,-104.55,90.0,top
C17,72.0225,-115.1525,0.0,bottom
C18,54.53,-98.79,215.0,bottom
C19,50.26,-102.59,235.0,bottom
C2,67.4075,-108.235,0.0,top
C20,57.35,-108.75,180.0,top
C21,64.3575,-104.135,0.0,top
C22,65.6825,-104.585,90.0,top
C23,67.4075,-106.485,0.0,top
C24,65.7325,-114.47,270.0,top
C25,57.35,-107.8,180.0,top
C26,67.3825,-104.735,0.0,top
C27,67.3875,-109.935,0.0,top
C28,62.8075,-104.585,90.0,top
C29,61.9575,-104.585,90.0,top
C3,60.8775,-116.315,90.0,top
C30,57.35,-110.75,180.0,top
C31,61.3175,-114.435,270.0,top
C32,63.4,-101.5,0.0,top
C33,58.755,-107.895,0.0,bottom
C34,56.515,-109.405,90.0,bottom
C35,64.96,-119.36,90.0,bottom
C36,69.03,-120.09,90.0,bottom
C37,62.54,-117.56,0.0,bottom
C38,68.49,-122.26,90.0,bottom
C39,60.0,-114.8,90.0,bottom
C4,67.47,-111.715,180.0,top
C40,64.46,-113.43,0.0,bottom
C41,56.935,-107.905,0.0,bottom
C42,67.4075,-109.085,0.0,top
C43,56.5,-106.55,270.0,bottom
C44,67.46,-115.805,180.0,top
C45,64.35,-105.05,180.0,bottom
C46,54.5,-124.13,145.0,bottom
C47,49.95,-120.65,125.0,bottom
C48,54.365,-110.1,0.0,top
C49,50.850589,-120.189411,225.0,top
C5,72.26,-113.48,180.0,top
C50,71.9,-107.13,90.0,bottom
C51,71.46,-105.72,180.0,bottom
C52,69.64,-107.18,90.0,bottom
C53,72.0225,-114.2125,0.0,bottom
C54,75.61,-110.95,270.0,bottom
C55,73.7225,-114.2125,180.0,bottom
C56,69.66,-107.18,90.0,top
C57,75.91,-119.8,55.0,bottom
C58,71.88,-124.32,35.0,bottom
C59,69.48,-112.22,270.0,top
C6,64.3575,-105.035,0.0,top
C60,69.6125,-114.7025,90.0,bottom
C69,58.65,-114.37,0.0,bottom
C7,74.03,-113.48,0.0,top
C71,58.67,-115.31,0.0,bottom
C75,57.5,-113.31,180.0,top
C76,56.56,-119.15,270.0,bottom
C8,75.61,-110.95,270.0,top
C9,69.43,-109.86,90.0,top
D1,54.0,-105.925,270.0,top
D2,51.72,-105.84,180.0,bottom
D21,60.3,-105.0,0.0,bottom
D3,53.62,-111.1,0.0,top
D4,55.5,-105.925,270.0,top
D5,52.5,-105.925,270.0,top
D6,51.0,-105.9125,270.0,top
D8,56.94,-105.9275,90.0,top
FL1,71.2725,-107.3225,135.0,top
FL2,70.07,-105.43,90.0,bottom
J1,58.6,-99.45,90.0,top
J10,71.36,-117.63,270.0,top
J11,69.86,-117.63,270.0,top
J12,72.42,-115.12,0.0,top
J13,56.75,-99.2,0.0,top
J14,56.75,-100.7,0.0,top
J15,56.75,-102.2,0.0,top
J16,69.4,-99.2,0.0,top
J17,69.4,-100.7,0.0,top
J18,69.4,-102.2,0.0,top
J19,69.5,-123.7,0.0,top
J2,60.1,-99.45,90.0,top
J20,69.5,-122.2,0.0,top
J21,69.5,-120.7,0.0,top
J22,56.7,-123.7,180.0,top
J23,56.7,-122.23,180.0,top
J24,63.1,-99.45,270.0,top
J25,61.6,-99.45,270.0,top
J26,74.36,-117.63,270.0,top
J27,67.6,-99.45,90.0,top
J28,64.6,-123.4,270.0,top
J29,63.1,-123.4,270.0,top
J3,66.1,-99.45,270.0,top
J30,56.7,-120.7,180.0,top
J31,72.86,-117.63,270.0,top
J32,60.1,-118.35,90.0,top
J33,63.1,-120.9,90.0,top
J34,64.6,-118.35,90.0,top
J35,61.6,-123.4,270.0,top
J36,60.1,-123.4,270.0,top
J38,58.6,-123.4,270.0,top
J39,67.6,-123.4,90.0,top
J4,64.6,-99.45,270.0,top
J40,66.1,-123.4,90.0,top
J42,67.610442,-120.9,270.0,top
J43,66.110442,-120.9,270.0,top
J44,64.6,-120.9,270.0,top
J45,51.25,-112.6,180.0,top
J46,51.25,-111.1,180.0,top
J47,51.25,-108.2,0.0,top
J48,51.25,-109.7,0.0,top
J49,63.1,-118.35,270.0,top
J5,51.25,-117.2,0.0,top
J50,61.6,-118.35,270.0,top
J53,61.6,-120.9,90.0,top
J56,58.6,-120.9,90.0,top
J6,51.25,-118.7,0.0,top
J7,51.25,-115.7,180.0,top
J8,51.25,-114.2,180.0,top
J9,60.1,-120.9,90.0,top
L1,59.55,-114.69,270.0,top
L2,64.1575,-102.835,0.0,top
L3,66.32,-122.59,270.0,bottom
L4,65.75,-115.62,180.0,bottom
L7,70.98,-107.1,270.0,bottom
OSC1,70.22,-114.33,90.0,top
P1,63.06,-101.5375,180.0,bottom
Q7,66.44,-116.82,90.0,top
R1,70.5725,-114.6925,90.0,bottom
R10,67.1,-102.06,90.0,top
R11,67.3975,-107.385,180.0,top
R13,64.82,-116.79,0.0,top
R14,69.98,-120.09,270.0,bottom
R15,54.22,-106.4,0.0,bottom
R16,59.5,-117.95,0.0,bottom
R17,54.19,-104.54,0.0,bottom
R18,54.2,-105.43,0.0,bottom
R19,67.3825,-103.835,180.0,top
R2,59.91,-116.47,90.0,top
R20,67.4075,-105.61,180.0,top
R21,56.5,-104.7,90.0,bottom
R22,56.4,-101.95,180.0,bottom
R23,63.9825,-114.47,90.0,top
R24,64.8575,-114.47,90.0,top
R25,63.1075,-114.46,90.0,top
R26,56.39,-101.0,180.0,bottom
R28,67.85,-116.35,90.0,bottom
R29,56.4,-102.91,0.0,bottom
R3,73.81,-106.18,270.0,bottom
R31,60.0,-116.575,270.0,bottom
R34,68.0,-102.06,90.0,top
R36,66.2,-102.07,90.0,top
R37,57.94,-104.5,180.0,bottom
R4,55.6,-104.95,270.0,bottom
R44,57.66,-117.15,0.0,bottom
R45,57.65,-116.25,0.0,bottom
R5,65.35,-115.87,180.0,top
R50,67.4575,-110.785,0.0,top
R6,72.86,-106.18,270.0,bottom
R7,56.0,-108.3,270.0,top
R8,56.65,-109.7,0.0,top
R9,74.56,-107.53,0.0,bottom
RF1,73.0075,-106.28,270.0,top
U1,60.0,-121.2075,0.0,bottom
U10,62.25,-109.35,90.0,bottom
U12,73.6625,-115.2525,180.0,bottom
