Designator,Mid X,Mid Y,Rotation,Layer
C1,77.50956,-169.83,0.0,top
C10,74.97,-150.35,0.0,bottom
C11,78.38,-158.965,270.0,bottom
C111,69.3,-167.0,180.0,bottom
C12,77.998381,-147.59614,325.0,bottom
C13,82.478381,-151.47614,300.0,bottom
C14,79.63,-170.085,90.0,top
C15,80.08,-167.74,180.0,top
C16,62.705,-161.56744,0.0,bottom
C17,80.205,-168.86,180.0,top
C18,51.09,-147.67,215.0,bottom
C19,46.75,-151.38,235.0,bottom
C2,63.85,-171.35,90.0,bottom
C3,73.87,-159.42,0.0,bottom
C32,64.225,-159.33744,270.0,bottom
C33,60.57,-171.23744,90.0,bottom
C34,68.665,-171.59244,90.0,bottom
C35,77.4,-174.685,180.0,bottom
C36,79.85,-177.41,145.0,top
C37,51.115,-153.65,180.0,bottom
C38,74.425,-174.51,180.0,bottom
C39,54.555,-157.52,90.0,bottom
C4,79.70794,-161.26,90.0,top
C40,48.19,-153.35,180.0,bottom
C41,64.59,-171.33244,90.0,bottom
C45,63.4,-155.0,270.0,bottom
C46,50.93,-182.85,145.0,bottom
C47,46.38,-179.37,125.0,bottom
C48,59.205,-162.81744,90.0,bottom
C49,70.16,-157.34,0.0,bottom
C5,78.95794,-161.26,90.0,top
C50,76.74,-160.93,90.0,bottom
C51,75.95,-160.925,90.0,bottom
C52,75.92,-168.41,270.0,bottom
C53,79.08,-168.41,270.0,bottom
C55,80.48,-160.685,90.0,bottom
C57,82.48,-179.13,55.0,bottom
C58,78.515,-183.158653,35.0,bottom
C6,78.18294,-161.26,90.0,top
C60,76.08294,-167.91,270.0,top
C61,75.65,-151.6,90.0,bottom
C64,70.17,-158.18,180.0,bottom
C67,57.49,-161.71244,90.0,top
C68,56.69,-161.71244,90.0,top
C7,77.50956,-170.6,180.0,top
C70,61.44,-158.49744,90.0,top
C71,57.09,-158.53244,180.0,top
C72,69.285,-163.92744,0.0,top
C73,67.46,-163.05,180.0,bottom
C74,69.29,-165.53244,0.0,bottom
C75,62.735,-170.81744,270.0,top
C76,62.94,-158.48744,90.0,top
C77,56.69,-159.88244,270.0,top
C78,69.29,-165.53244,0.0,top
C79,57.04,-163.23244,180.0,top
C8,81.20794,-162.285,90.0,top
C80,64.565,-170.85744,270.0,top
C81,60.915,-170.83744,270.0,top
C82,69.2,-159.95,0.0,top
C83,68.855,-166.79244,90.0,top
C84,63.665,-158.48744,90.0,top
C85,58.34,-158.68244,90.0,top
C86,69.695,-166.78744,90.0,top
C87,69.025,-172.66744,0.0,top
C9,75.88294,-166.235,270.0,top
D1,55.055,-159.26744,90.0,top
D2,73.8,-157.8,0.0,bottom
D21,65.65,-153.32,0.0,bottom
D3,60.18,-163.44244,270.0,bottom
D4,57.6675,-157.26744,0.0,top
D5,66.855,-172.31744,180.0,top
D6,71.27,-168.9,270.0,bottom
D7,60.72,-176.48,180.0,top
D8,50.6425,-170.38,0.0,top
