Designator,Mid X,Mid Y,Rotation,Layer
AE1,76.98,-116.71,180.0,bottom
C1,77.85,-105.9,0.0,bottom
C10,75.82,-111.32,0.0,top
C100,59.89,-110.96,180.0,top
C101,61.67,-106.61,0.0,top
C102,69.41,-110.71,90.0,top
C103,64.31,-115.75,0.0,top
C104,64.34,-106.16,90.0,top
C105,67.07,-106.62,180.0,bottom
C106,61.89,-106.78,270.0,bottom
C109,62.36,-116.48,90.0,bottom
C11,78.36,-106.22,90.0,top
C110,67.45,-115.38,270.0,bottom
C111,69.36,-107.17,90.0,bottom
C12,75.82,-112.24,0.0,top
C13,75.9,-105.0,0.0,bottom
C14,74.39,-111.8,270.0,top
C15,73.02,-112.24,0.0,top
C17,77.41,-112.86,180.0,bottom
C18,73.83,-105.61,270.0,bottom
C19,72.07,-104.96,180.0,top
C2,66.05,-106.15,270.0,top
C20,77.41,-113.81,180.0,bottom
C3,52.98,-104.01,0.0,bottom
C35,69.59,-122.35,270.0,bottom
C36,71.04,-123.13,270.0,bottom
C37,60.23,-108.785,270.0,bottom
C38,64.8,-119.0,270.0,bottom
C39,57.39,-111.79,0.0,bottom
C4,62.8,-117.81,180.0,bottom
C40,55.3,-106.105,270.0,bottom
C41,63.23,-116.48,90.0,bottom
C42,59.44,-109.16,90.0,top
C43,60.29,-109.16,90.0,top
C44,59.82,-107.81,180.0,top
C45,62.07,-105.66,180.0,top
C46,59.89,-111.96,180.0,top
C47,62.48,-115.74,0.0,top
C48,69.41,-108.96,270.0,top
C5,75.89,-105.93,0.0,bottom
C7,72.79,-109.39,0.0,bottom
C8,78.37,-108.06,90.0,top
C9,72.78,-110.32,180.0,bottom
C97,65.19,-106.16,90.0,top
C98,69.41,-112.51,270.0,top
C99,66.06,-115.75,0.0,top
D1,57.3,-103.75,0.0,bottom
D2,68.4,-105.42,0.0,bottom
D20,53.34,-108.39,180.0,bottom
D21,64.25,-105.65,0.0,bottom
D23,53.34,-119.02,180.0,bottom
D3,56.57,-101.53,90.0,bottom
D4,69.35,-115.95,270.0,bottom
D5,57.25,-113.75,270.0,bottom
J1,69.15,-99.75,270.0,top
J13,57.75,-102.7,90.0,top
J14,59.5,-102.7,90.0,top
J15,61.25,-102.7,90.0,top
J16,70.05,-102.8,270.0,top
J17,68.3,-102.8,270.0,top
J18,66.55,-102.8,270.0,top
J19,70.0,-121.75,270.0,top
J2,67.4,-99.75,270.0,top
J20,68.25,-121.75,270.0,top
J21,66.5,-121.75,270.0,top
J22,56.9,-118.5,90.0,top
J23,58.67,-118.5,90.0,top
J24,62.15,-99.75,270.0,top
J25,60.4,-99.75,270.0,top
J26,58.65,-99.75,270.0,top
J27,56.9,-99.75,270.0,top
J28,64.75,-121.75,270.0,top
J29,63.0,-121.75,270.0,top
J3,65.65,-99.75,270.0,top
J30,60.4,-118.5,90.0,top
J31,73.05,-114.7,90.0,top
J32,76.35,-114.7,90.0,top
J33,78.0,-114.7,90.0,top
J34,74.7,-114.7,90.0,top
J35,61.25,-121.75,270.0,top
J36,59.5,-121.75,270.0,top
J37,57.75,-121.75,270.0,top
J38,56.0,-121.75,270.0,top
J39,57.78,-116.0,90.0,top
J4,63.9,-99.75,270.0,top
J40,59.53,-116.0,90.0,top
J41,63.9,-118.5,90.0,top
