Designator,Footprint,Quantity,Value,LCSC Part #
AE2,ANT-SMD_47948-0001,1,47948-0001,C152351
"C1, C2, C83, C84, C85, C86",0402,6,1.2p,C327292
"C100, C101, C102, C103, C104, C107, C109, C110, C111, C113, C41, C46, C47, C48, C79, C80, C81, C82, C97, C98, C99",0402,21,100n,C1525
"C105, C106",0402,2,15p,C441742
"C108, C36, C39, C76, C77, C87, C90, C93, C95",0402,9,100nF,
"C3, C4",0402,2,22uF,C105226
"C35, C37",0805,2,4.7uF 50v,C98192
"C38, C40",0603,2,22uF,C2762594
"C42, C43, C44, C45",0402,4,4.7uF,C23733
C78,0402,1,1uF,
"C88, C91, C94, C96",0402,4,10nF,
"C89, C92",0402,2,470nF,
"D1, D18, D2, D3, D4",0603,5,LED_1_Green,
"D20, D21, D23",SOD-882_L1.0-W0.6-RD,3,RB161QS-40_C28646385,C28646385
"FL3, FL4",FILTER-SMD_5P-L2.0-W1.3-L,2,DEA202450BT-3030A1,C307660
"J1_2, J1, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J2_2, J2, J20, J21, J22, J23, J24_2, J24, J25_2, J25, J26_2, J26, J27_2, J27, J28, J29, J3_2, J3, J30, J35, J36, J37, J38, J39, J4_2, J4, J40, J41, J42, J43, J44, J45, J46, J47, J48, J49, J5, J50, J51, J52, J53, J54, J55, J56, J57, J58, J6, J7, J8, J9",small_pad,62,5V,
JP4,RF-SMD_FRF05002-JSS103M,1,U.FL-R-SMT-1(80),C88374
"L1, L12",L0805,2,MGFL2012F150MT-LF (15uH),C486333
"L10, L11, L6",L0402,3,LQW15AN3N0B00D (3nH),C269824
L2,ANT-SMD_L8.0-W1.0-SLDA81-3R010G-S1TF,1,ANT8010LL04R2400A,C723634
"L3, L4",IND-SMD_L3.0-W3.0_AFE303020S,2,XRTC303020D4R7MBCA,C39846837
L5,IND-SMD_PSTMAA160808-4R7MB,1,FTC160808S3R3MBCA,C46594346
LED2,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,1,WS2812B-2020,C965555
OSC2,OSC-SMD_4P-L2.0-W1.6-BL_TXC_7Z,1,OW7EL89CENUNFAYLC-52M,C22434896
P1,CONN-TH_SM08B-SRSS-TB-LF-SN,1,SM08B-SRSS-TB(LF)(SN),C160407
Q7,DFN-3L_L1.0-W0.6-P0.65-BR,1,DMN1150UFB-7B,C459538
"R1, R2, R44, R45",0402,4,5.1k,
"R19, R24, R40, R51",0402,4,10k,
"R20, R21, R22, R23",0402,4,100k,C25744
"R27, R30, R5, R50",0402,4,100k,
R28,0402,1,5.23k,
R29,0402,1,470,
"R3, R4, R53",0402,3,30R,
R31,0402,1,13.7k,
R32,0402,1,200,
R39,0402,1,33R,
R41,0402,1,200R,
"R42, R43, R49",0402,3,1k,
"R46, R47",0402,2,22R,
SW1,KEY-SMD_B3U-1000PM,1,B3U-1000P,C231329
U1,CONN-SMD_SM06B-SRSS-TB-LF-SN,1,SM06B-SRSS-TB(LF)(SN),C160405
"U10, U9",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,2,TLV75533PDBVR,C404027
U11,QFN-60_L7.0-W7.0-P0.40-TL-EP3.4,1,RP2350A_C42411118,C42411118
U12,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,ABM8-272-T3_C20625731,C20625731
U13,USON-8_L3.0-W2.0-P0.50-BL-EP,1,W25Q32RVXHJQ TR,C32246052
U14,LGA-14_L3.0-W2.5-P0.50-BR,1,LSM6DSV16XTR,C5267406
"U15, U16, U17, U18, U3, U4, U5, U8",LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B,8,XL-1010RGBC-WS2812B,C5349953
U2,WSON-8_L6.0-W5.0-P1.27-BL-EP,1,W25Q128JVPIQTR,C190862
"U24, U25",QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,2,RFX2401C,C19213
U26,LGA-48_L7.0-W7.0-P0.50-BL-EP5.0,1,ESP32-PICO-V3,C967022
"U27, U28",QFN-24_L4.0-W4.0-P0.50-TL-EP2.6,2,SX1281IMLTRT,C2151551
U30,SENSORM-SMD_BMP388,1,BMP388,C779278
U31,LGA-12_L2.0-W2.0-P0.50-BL,1,LIS3MDLTR,C478483
"U6, U7",SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL,2,LMR51420YDDCR,C5383002
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
