Designator,Mid X,Mid Y,Rotation,Layer
AE2,82.55,-121.95,270.0,bottom
C1,79.6,-113.25,90.0,bottom
C100,65.88,-110.8,0.0,top
C101,65.88,-111.7,0.0,top
C102,33.225,-87.1225,0.0,top
C103,33.225,-89.0925,0.0,top
C104,36.095,-77.2725,0.0,top
C105,55.85,-110.35,180.0,top
C106,55.85,-112.25,180.0,top
C107,67.788151,-107.509223,180.0,top
C108,36.095,-85.1525,0.0,top
C109,122.185,-68.04,0.0,top
C110,122.185,-72.01,0.0,top
C111,124.145,-90.76,0.0,top
C113,118.505,-91.27,0.0,top
C2,81.1,-113.25,0.0,bottom
C3,104.235,-76.43,0.0,top
C35,59.25,-113.2,90.0,bottom
C36,63.6,-113.5,90.0,bottom
C37,67.45,-104.3,180.0,bottom
C38,59.0,-116.29,90.0,bottom
C39,67.1,-108.7,180.0,bottom
C4,104.235,-78.4,0.0,top
C40,64.36,-104.1,180.0,bottom
C41,122.185,-66.07,0.0,top
C42,66.33,-113.25,270.0,top
C43,65.43,-113.25,270.0,top
C44,66.318151,-115.359223,270.0,top
C45,61.448151,-116.059223,180.0,top
C46,60.23,-106.7,0.0,top
C47,63.93,-106.650001,0.0,top
C48,55.85,-109.45,180.0,top
C76,75.365,-115.605,0.0,top
C77,78.415,-107.005,0.0,top
C78,82.465,-110.605,90.0,top
C79,79.95,-120.65,0.0,bottom
C80,81.4,-107.45,270.0,bottom
C81,78.05,-120.75,45.0,bottom
C82,82.85,-106.05,180.0,bottom
C83,82.85,-105.1,180.0,bottom
C84,82.88,-117.3,180.0,bottom
C85,82.85,-103.45,0.0,bottom
C86,82.88,-119.0,0.0,bottom
C87,74.0,-107.55,90.0,bottom
C88,78.0,-111.8,180.0,bottom
C89,73.1,-107.55,270.0,bottom
C90,73.1,-114.48,270.0,bottom
C91,76.7,-119.4,45.0,bottom
C92,76.1,-117.75,0.0,bottom
C93,76.9,-105.5,90.0,bottom
C94,79.6,-111.35,270.0,bottom
C95,76.22,-111.8,180.0,bottom
C96,77.5,-118.18,90.0,bottom
C97,65.418151,-115.359223,270.0,top
C98,59.668151,-116.050001,180.0,top
C99,55.9,-113.45,180.0,top
D1,102.75,-113.5775,90.0,top
D18,104.2,-113.5625,90.0,top
D2,36.165,-91.3725,0.0,top
D20,117.435,-66.22,0.0,top
D21,117.435,-68.5,0.0,top
D23,117.435,-70.78,0.0,top
D3,104.845,-68.97,0.0,top
D4,104.845,-71.56,0.0,top
FL3,80.09,-107.65,90.0,bottom
FL4,79.2,-115.2,270.0,bottom
J1_2,60.828572,-99.8,90.0,top
J1,30.25,-111.4,0.0,top
J10,148.535,-97.67,0.0,top
J11,151.44,-81.92,0.0,top
J12,151.44,-83.67,0.0,top
